,year,intP_RSP,mnChl_aw_RSP,mnOW_RSP,nmSST_aw_RSP,mnAirTemp,mnWind,mnSIE,GyreSPD,TOTALDays.10,TOTALTonnes.100,Prop._134,Fish,Cum_Fish_lag1,Cum_Fish2,Cum_fish3,Salinity,ICEBERG,ADPE_BIRD,ADPE_CROZ,ADPE_RO,BIRD,EMPE,WESE,WESE_1,av_SIE,FIE
1,1998,0.717087139,1.296946275,4370.76,-0.690398,-5.65,7.8,3.126,6.3,1,0.41,,,,,,34.845,0,38252,125441,34110,38252,1108,0.6388527,,3.126,17.2
2,1999,0.719670487,1.505374104,4127.91,-0.901666,-5.9,7.8,3.269,6.7,8.5,2.96,,,,,,,0,47350,156441,36200,47350,798,0.6505867,,3.269,31
3,2000,0.352763714,0.638517296,2959.68,-0.924639,-4.45,7.8,2.983,6.4,12.3,6.6944,30,2.00832,,,,34.79,0,41409,89489,23630,41409,1201,0.6219035,1.05,2.983,37.2
4,2001,1.061293957,3.120599358,4366.66,-1.11723,-6.175,8.6,2.964,6.6,26.2,5.6849,50,2.84245,,,,34.835,1,26317,67114,13670,26317,0,0.5084746,0.75,2.964,15
5,2002,0.121901,0.190598,1748.01,-1.04701,-6.05,8.8,2.779,4.4,20.5,12.3086,55,6.76973,,,,34.84,1,40678,161079,22390,40678,247,0.5345502,0.8,2.779,44.9
6,2003,0.17975,0.242426,2701.45,-0.546599,-4.625,8.6,2.859,7,43.5,14.1807,35,4.963245,10.248682,10.934591,11.6205,34.836,1,22816,100843,19630,22816,279,0.5084746,0.78,2.859,52
7,2004,0.0595893,0.0920093,1115.63,-0.551816,-5,8.4,2.759,7.2,98.8,20.6458,38,7.845404,12.084499,13.329962,14.575425,34.835,1,36773,182492,20360,36773,475,0.2607562,0.35,2.759,14.9
8,2005,0.245199,0.534119,3630.16,-0.970962,-5.25,8.8,2.832,7.8,57.6,33.5537,45,15.099165,15.877838,17.7281085,19.578379,34.795,1,57709,194449,24590,57709,0,0.3780965,0.55,2.832,47
9,2006,0.392739,0.590828,4718.94,-1.00689,-6,8.8,2.738,5.4,47.2,27.0129,42,11.345418,24.3534352,26.1306246,27.907814,34.8,0,50326,205667,26070,50326,359,0.5215124,0.95,2.738,47
10,2007,0.353395,0.639611,3903.53,-0.84605,-6.8,9.4,3.126,4.9,56.1,28.5381,41,11.700621,28.1319924,31.2109897,34.289987,,0,50595,197990,26540,50595,612,0.6518905,1.25,3.126,23
11,2008,0.25669,0.58906,1968.25,-0.983647,-5.025,8.2,3.167,7.4,48.8,22.3769,42,9.398298,29.8364544,33.9908292,38.145204,34.82,0,39285,193624,18050,39285,367,0.5215124,0.75,3.167,20
12,2009,0.470999,1.18551,5003.04,-0.702852,-5.475,9.2,3.071,6.1,37.7,22.4361,39,8.750079,25.5660456,29.0051913,32.444337,,0,67122,282515,26090,67122,650,0.619296,1.1,3.071,38
13,2010,0.665519,1.62219,4676.62,-1.04326,-4.8,8.8,2.98,7.8,52,30.101,35,10.53535,23.28909,26.569044,29.848998,34.8,0,68525,278928,25130,68525,427,0.7692308,1.43,2.98,18
14,2011,0.344691,0.580363,3446.75,-0.806416,-4.475,8.6,2.756,5.6,38.7,29.3494,26,7.630844,23.174392,25.9290595,28.683727,,0,59875,261371,28870,59875,221,0.7822686,1.38,2.756,18
15,2012,0.563372,1.52375,3799.97,-0.548099,-4.325,8,2.789,6.4,43.6,31.1801,21,6.547821,21.3091714,24.1127222,26.916273,34.775,0,75696,272340,30830,75696,1080,0.7666232,1.35,2.789,16
16,2013,0.586291,1.15787,4809.29,-0.946211,-5.475,8.8,3.113,5,59.7,32.8684,17,5.587628,18.9737062,21.8438606,24.714015,34.78,0,66679,280787,29440,66679,1033,0.7203604,1.3,3.113,18
17,2014,0.294715,0.603961,3855.74,-0.828653,-5.425,9.2,3.029,6.7,50.1,29.8094,18,5.365692,15.4043912,17.5853421,19.766293,34.765,0,77347,281308,31870,77347,1238,0.7783572,1.4,3.029,20
18,2015,0.611026,1.36406,4850.6,-0.66167,-5.275,10.4,2.89,7.4,40.3,26.78,10,2.678,13.764487,15.632814,17.501141,,0,74270,304733,31110,74270,1737,0.8100851,1.45,2.89,20
19,2016,0.454481,0.993719,2029.15,-0.720451,-6.175,8.2,2.709,6.6,27.2,28.2,37,10.434,10.3231304,11.9772252,13.63132,34.77,0,58554,280581,17460,58554,1759,0.6257191,1.1,2.709,15
20,2017,0.254361,0.401386,3262.14,-0.820266,-4.7,8.8,2.417,7.3,37.3,26.8,32,8.576,15.7958152,17.1367536,18.477692,34.82,0,63734,287091,26290,63734,1743,0.9778357,1.65,2.417,60
21,2018,0.450405,1.05382,4958.09,-1.05724,-4.7,11.8,2.65,,,26.37,32,8.4384,18.53,20.109,21.688,34.85,0,65205,312559,31030,65205,1911,0.5997393,1,2.647,13.5
22,2019,,,,,,,,,,,,,,,,,,,,,,,,1.35,,15.4
